StateName,StateAbbreviation,CityName,AirportAbbreviation
Alabama,AL,Birmingham,BHM
Alabama,AL,Dothan,DHN
Alabama,AL,Huntsville,HSV
Alabama,AL,Mobile,MOB
Alabama,AL,Montgomery,MGM
Alaska,AK,Anchorage,ANC
Alaska,AK,Bethel,BET
Alaska,AK,Cordova,CDV
Alaska,AK,Deadhorse,SCC
Alaska,AK,Dillingham,DLG
Alaska,AK,Fairbanks,FAI
Alaska,AK,Gustavus,GST
Alaska,AK,Homer,HOM
Alaska,AK,Juneau,JNU
Alaska,AK,Kenai,ENA
Alaska,AK,Ketchikan,KTN
Alaska,AK,King Salmon,AKN
Alaska,AK,Klawock,AKW
Alaska,AK,Kodiak,ADQ
Alaska,AK,Kotzebue,OTZ
Alaska,AK,Nome,OME
Alaska,AK,Petersburg,PSG
Alaska,AK,Sitka,SIT
Alaska,AK,Unalaska,DUT
Alaska,AK,Utqiaġvik (Barrow),BRW
Alaska,AK,Wrangell,WRG
Alaska,AK,Yakutat,YAK
Arizona,AZ,Flagstaff,FLG
Arizona,AZ,Mesa,IWA
Arizona,AZ,Page,PGA
Arizona,AZ,Phoenix,PHX
Arizona,AZ,Prescott,PRC
Arizona,AZ,Tucson,TUS
Arizona,AZ,Yuma,NYL
Arkansas,AR,Fayetteville,XNA
Arkansas,AR,Fort Smith,FSM
Arkansas,AR,Little Rock,LIT
Arkansas,AR,Texarkana,TXK
California,CA,Arcata/Eureka,ACV
California,CA,Bakersfield,BFL
California,CA,Burbank,BUR
California,CA,Fresno,FAT
California,CA,Long Beach,LGB
California,CA,Los Angeles,LAX
California,CA,Monterey,MRY
California,CA,Oakland,OAK
California,CA,Ontario,ONT
California,CA,Santa Ana,SNA
California,CA,Palm Springs,PSP
California,CA,Redding,RDD
California,CA,Sacramento,SMF
California,CA,San Diego,SAN
California,CA,San Francisco,SFO
California,CA,San Jose,SJC
California,CA,San Luis Obispo,SBP
California,CA,Santa Barbara,SBA
California,CA,Santa Maria,SMX
California,CA,Santa Rosa,STS
California,CA,Stockton,SCK
Colorado,CO,Alamosa,ALS
Colorado,CO,Aspen,ASE
Colorado,CO,Colorado Springs,COS
Colorado,CO,Denver,DEN
Colorado,CO,Durango,DRO
Colorado,CO,Eagle/Vail,EGE
Colorado,CO,Grand Junction,GJT
Colorado,CO,Gunnison,GUC
Colorado,CO,Hayden,HDN
Colorado,CO,Montrose,MTJ
Connecticut,CT,Hartford,BDL
Connecticut,CT,New Haven,HVN
Delaware,DE,Wilmington,ILG
Florida,FL,Daytona Beach,DAB
Florida,FL,Fort Lauderdale,FLL
